SeriesID,GeoAreaCode,GeoAreaName
1778,694,Sierra Leone
1778,702,Singapore
1778,534,Sint Maarten (Dutch part)
1778,703,Slovakia
1778,705,Slovenia
1778,90,Solomon Islands
1778,706,Somalia
1778,710,South Africa
1778,239,South Georgia and the South Sandwich Islands
1778,728,South Sudan
1778,724,Spain
1778,144,Sri Lanka
1778,275,State of Palestine
1778,729,Sudan
1778,740,Suriname
1778,744,Svalbard and Jan Mayen Islands
1778,748,Eswatini
1778,752,Sweden
1778,756,Switzerland
1778,760,Syrian Arab Republic
1778,762,Tajikistan
1778,764,Thailand
1778,807,Republic of North Macedonia
1778,626,Timor-Leste
1778,768,Togo
1778,772,Tokelau
1778,776,Tonga
1778,780,Trinidad and Tobago
1778,788,Tunisia
1778,792,Turkey
1778,795,Turkmenistan
1778,796,Turks and Caicos Islands
1778,798,Tuvalu
1778,800,Uganda
1778,804,Ukraine
1778,784,United Arab Emirates
1778,826,United Kingdom of Great Britain and Northern Ireland
1778,834,United Republic of Tanzania
1778,581,United States minor outlying islands
1778,840,United States of America
1778,850,United States Virgin Islands
1778,858,Uruguay
1778,860,Uzbekistan
1778,548,Vanuatu
1778,862,Venezuela (Bolivarian Republic of)
1778,704,Viet Nam
1778,876,Wallis and Futuna Islands
1778,732,Western Sahara
1778,887,Yemen
1778,894,Zambia
1778,716,Zimbabwe
